id,timestamp,symbol,open,high,low,close,volume
43,2025-11-27 23:28:00,BTCUSDT,90735.01,90735.01,90735.01,90735.01,0.00081
45,2025-11-27 23:28:00,BTCUSDT,90735.01,90735.01,90718.44,90718.44,1.41189
41,2025-11-27 23:28:00,BTCUSDT,90735.0,90735.0,90735.0,90735.0,0.0
44,2025-11-27 23:28:00,BTCUSDT,90735.01,90735.01,90735.0,90735.01,1.26212
38,2025-11-27 23:27:00,BTCUSDT,90804.0,90804.0,90776.88,90776.88,0.24338
37,2025-11-27 23:27:00,BTCUSDT,90804.0,90804.0,90776.88,90776.88,0.21
36,2025-11-27 23:27:00,BTCUSDT,90804.0,90804.0,90776.89,90776.89,0.20757
35,2025-11-27 23:27:00,BTCUSDT,90804.0,90804.0,90803.99,90803.99,0.00212
34,2025-11-27 23:27:00,BTCUSDT,90804.0,90804.0,90803.99,90803.99,0.00112
33,2025-11-27 23:27:00,BTCUSDT,90804.0,90804.0,90804.0,90804.0,0.00102
31,2025-11-27 23:27:00,BTCUSDT,90800.14,90800.14,90800.14,90800.14,0.0
32,2025-11-27 23:27:00,BTCUSDT,90804.0,90804.0,90804.0,90804.0,0.00081
42,2025-11-27 23:27:00,BTCUSDT,90804.0,90804.0,90735.0,90735.0,0.42699
40,2025-11-27 23:27:00,BTCUSDT,90804.0,90804.0,90735.0,90735.0,0.42699
39,2025-11-27 23:27:00,BTCUSDT,90804.0,90804.0,90735.0,90735.0,0.42618
28,2025-11-27 23:26:00,BTCUSDT,90841.52,90846.05,90800.13,90800.14,1.55321
22,2025-11-27 23:26:00,BTCUSDT,90853.79,90853.79,90853.79,90853.79,0.0
23,2025-11-27 23:26:00,BTCUSDT,90841.52,90841.52,90841.52,90841.52,1.22859
24,2025-11-27 23:26:00,BTCUSDT,90841.52,90846.05,90841.52,90846.05,1.22881
25,2025-11-27 23:26:00,BTCUSDT,90841.52,90846.05,90800.14,90800.14,1.51321
26,2025-11-27 23:26:00,BTCUSDT,90841.52,90846.05,90800.13,90800.13,1.53321
27,2025-11-27 23:26:00,BTCUSDT,90841.52,90846.05,90800.13,90800.13,1.54321
29,2025-11-27 23:26:00,BTCUSDT,90841.52,90846.05,90800.13,90800.14,1.57659
30,2025-11-27 23:26:00,BTCUSDT,90841.52,90846.05,90800.13,90800.14,1.57659
21,2025-11-27 23:25:00,BTCUSDT,90853.79,90853.79,90853.78,90853.79,0.00292
16,2025-11-27 23:25:00,BTCUSDT,90853.78,90853.78,90853.78,90853.78,0.0
17,2025-11-27 23:25:00,BTCUSDT,90853.79,90853.79,90853.79,90853.79,0.00162
18,2025-11-27 23:25:00,BTCUSDT,90853.79,90853.79,90853.79,90853.79,0.00182
19,2025-11-27 23:25:00,BTCUSDT,90853.79,90853.79,90853.78,90853.78,0.00192
20,2025-11-27 23:25:00,BTCUSDT,90853.79,90853.79,90853.78,90853.79,0.00292
14,2025-11-27 23:24:00,BTCUSDT,90782.8,90853.78,90635.91,90853.78,0.89305
13,2025-11-27 23:24:00,BTCUSDT,90782.8,90853.78,90635.91,90853.78,0.89224
12,2025-11-27 23:24:00,BTCUSDT,90782.8,90819.9,90635.91,90819.89,0.6925
11,2025-11-27 23:24:00,BTCUSDT,90782.8,90819.9,90635.91,90819.9,0.69162
10,2025-11-27 23:24:00,BTCUSDT,90782.8,90819.9,90635.91,90819.89,0.68162
7,2025-11-27 23:24:00,BTCUSDT,90782.8,90813.93,90635.91,90635.91,0.67109
5,2025-11-27 23:24:00,BTCUSDT,90782.8,90813.93,90782.8,90813.93,0.31415
4,2025-11-27 23:24:00,BTCUSDT,90782.8,90813.93,90782.8,90813.93,0.31386
3,2025-11-27 23:24:00,BTCUSDT,90782.8,90813.92,90782.8,90813.92,0.30386
2,2025-11-27 23:24:00,BTCUSDT,90782.8,90782.8,90782.8,90782.8,0.02228
15,2025-11-27 23:24:00,BTCUSDT,90782.8,90853.78,90635.91,90853.78,0.89305
6,2025-11-27 23:24:00,BTCUSDT,90782.8,90813.93,90782.8,90813.93,0.32415
9,2025-11-27 23:24:00,BTCUSDT,90782.8,90819.9,90635.91,90819.9,0.68081
8,2025-11-27 23:24:00,BTCUSDT,90782.8,90819.9,90635.91,90819.89,0.67676
1,2025-11-27 23:23:00,BTCUSDT,90779.78,90779.79,90779.78,90779.79,0.00036
